Voda, dobavljena iz javnega vodovoda (1000 m3), porečja, Slovenija, letno;;;;;;;;;;;;
;;;;;;;;;;;;
 ;Meritve - SKUPAJ; ; ; ; ; ; ; ; ; ; ; 
 ;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Slovenija - SKUPAJ;183421;178176;164142;165219;168157;170798;169181;166743;165689;170460;161731;163971
11 Povodje Donave;158142;153965;140677;140346;143530;145892;146347;145301;143475;147523;140171;138342
111 Pore?je Save;115847;112793;104902;103945;106979;109741;111913;111265;108776;111895;104433;103532
1111 Zgornja Sava;15872;16079;12156;11757;13566;13091;13044;14478;13641;17851;16657;14747
1112 Sora;5192;4996;3303;3778;4269;4031;4028;3984;4153;4064;2293;4661
1113 Ljubljanska Sava;47007;45103;42819;42737;42946;42007;42511;42227;39601;3355;4169;4112
1114 Ljubljanica;7829;7476;7574;7635;7021;7070;7304;7711;7764;7848;7437;7857
1115 Litijska Sava;5611;5096;4644;3928;4018;4078;4008;3698;3722;38419;34266;33190
1116 Savinja;17241;17297;17051;16711;17162;18529;20489;19515;19780;18854;17195;18051
1117 Kr?ka Sava;6448;6406;5252;4778;4789;3614;3805;3389;3630;3569;3185;2723
1118 Krka;9401;9728;9574;10036;10618;10844;10941;10810;10637;10304;11477;10741
1119 Spodnja Sava;1246;612;2529;2585;2590;3873;3286;3006;3339;4788;4611;4985
1221 Kolpa;1926;2813;2390;2296;2380;2604;2497;2447;2509;2843;3143;2467
131 Pore?je Drave;31852;30163;26988;27642;27565;29567;27480;27568;27858;28563;28827;27374
1331 Mejna Drava;-;-;-;-;-;453;-;-;-;-;z;z
1332 Me?a;1690;1676;1684;1738;1604;1588;2676;2956;2680;2543;z;z
1333 Zgornja Drava;2076;1923;2172;1694;1759;1817;689;684;700;879;14337;13596
1335 Ptujska Drava;24741;23120;15811;16706;16680;17843;14652;14317;15398;15059;2432;2239
1336 Dravinja;3345;3444;3200;2020;2000;2075;3861;3618;3505;4336;3380;3005
1337 Gori?ka Drava;-;-;3083;4330;4370;4579;4418;4718;4294;4463;z;z
1338 Pesnica;-;-;215;0;0;-;-;-;-;-;-;-
1339 Ormo?ka Drava;-;-;823;1154;1152;1212;1184;1275;1281;1283;z;z
141 Pore?je Mure;8517;8196;6397;6463;6606;6584;6954;6468;6841;7065;6910;7436
1443 Spodnja Mura;3679;3717;2257;1973;2306;z;2661;2302;z;z;2299;2769
1444 Velika Krka z Ledavo;4838;4479;4125;4479;4288;4347;4280;4152;4327;4584;4611;4667
1447 T?r?k;-;-;-;0;0;-;-;-;-;-;-;-
1449 Zala;-;-;15;11;12;z;13;z;z;z;-;-
22 Povodje Jadranskega morja;25279;24211;23465;24873;24627;24906;22834;21442;22214;22937;21560;25629
212 Povodje jadranskih rek;11177;13330;11561;11758;11808;12207;11597;10126;11457;11725;11055;11631
2151 Slovenska obala;8372;8796;8615;8593;8616;8910;8662;7112;8582;8758;6096;8283
2152 Timav;2805;4534;2946;3165;3192;3279;2935;z;2875;2967;4959;3348
2153 Slovenska istra;-;-;-;-;-;-;-;-;-;-;-;-
222 Povodje So?e;14102;10881;11904;13115;12819;12699;11237;11316;10757;11212;10505;13998
2261 Zgornja So?a;1145;1163;1139;977;936;937;458;477;447;453;509;503
2262 Idrijca;1007;1003;1062;1278;1232;1301;1254;1498;1381;1577;1768;1753
2263 Srednja So?a;8414;5710;6884;8277;8017;7874;6310;6132;5776;6701;4546;8271
2264 Vipava;3536;3005;2775;2546;2556;2512;2510;2466;2375;2437;3638;3426
2266 Nadi?a;-;-;28;28;73;75;27;28;25;27;31;30
2268 Idrija;-;-;16;9;5;-;678;715;753;17;13;16
