 ;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
SLOVENIJA;44.3;46.1;43.4;42.4;42.9;43.6;43.8;41.8;41.2;40.7;41.3
Pomurska;27.4;27.6;26.8;26.6;27.1;29.5;37.3;29.4;27.0;29.5;29.4
Podravska;16.5;44.8;38.7;37.8;38.7;34.1;39.0;37.6;36.0;35.9;35.3
Koroska;30.7;32.3;33.2;30.1;30.6;29.0;31.9;30.8;30.4;30.3;22.9
Savinjska;42.9;42.5;41.8;40.6;41.3;53.3;46.9;40.0;28.7;42.2;47.1
Zasavska;36.6;37.2;36.2;35.5;34.8;34.7;34.9;34.2;19.2;33.5;30.2
Spodnjeposavska;37.2;39.2;37.9;37.9;38.1;34.5;32.8;33.8;33.3;34.4;31.2
Jugovzhodna Slovenija;38.6;37.5;39.5;38.9;35.6;38.7;38.8;38.0;32.6;38.6;40.0
Osrednjeslovenska;56.2;56.9;54.1;51.5;52.9;52.5;52.2;50.7;62.0;47.6;42.9
Gorenjska;44.9;50.9;48.4;50.3;50.1;48.6;47.9;50.0;41.6;43.2;51.2
Notranjsko-kraska;35.0;37.0;36.7;35.4;34.7;36.4;33.7;37.7;37.1;38.0;42.7
Goriska;47.9;44.4;42.3;42.0;43.0;50.8;43.4;42.7;36.9;42.2;47.2
Obalno-kraska;44.9;56.7;44.8;43.5;44.7;34.9;41.5;36.1;39.7;40.9;49.0
