"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2687,206,"SVN","Slovenia",1,"Gorenjska","","","Statisticna Regije","Statistical Region"
2688,206,"SVN","Slovenia",2,"Goriška","","Severna Primors","Statisticna Regije","Statistical Region"
2689,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija","","","Statisticna Regije","Statistical Region"
2690,206,"SVN","Slovenia",4,"Koroška","","","Statisticna Regije","Statistical Region"
2691,206,"SVN","Slovenia",5,"Notranjsko-kraška","","Kraška, Notranj","Statisticna Regije","Statistical Region"
2692,206,"SVN","Slovenia",6,"Obalno-kraška","","Južna Primorska","Statisticna Regije","Statistical Region"
2693,206,"SVN","Slovenia",7,"Osrednjeslovenska","","Ljubljana","Statisticna Regije","Statistical Region"
2694,206,"SVN","Slovenia",8,"Podravska","","","Statisticna Regije","Statistical Region"
2695,206,"SVN","Slovenia",9,"Pomurska","","","Statisticna Regije","Statistical Region"
2696,206,"SVN","Slovenia",10,"Savinjska","","","Statisticna Regije","Statistical Region"
2697,206,"SVN","Slovenia",11,"Spodnjeposavska","","Posavska","Statisticna Regije","Statistical Region"
2698,206,"SVN","Slovenia",12,"Zasavska","","","Statisticna Regije","Statistical Region"
