"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
29795,206,"SVN","Slovenia",2,"Goriška",21,"Cerkno","","","Opcine","Commune|Municipality"
29796,206,"SVN","Slovenia",2,"Goriška",22,"Idrija","","","Opcine","Commune|Municipality"
29797,206,"SVN","Slovenia",2,"Goriška",23,"Kanal","","","Opcine","Commune|Municipality"
29798,206,"SVN","Slovenia",2,"Goriška",24,"Kobarid","","","Opcine","Commune|Municipality"
29799,206,"SVN","Slovenia",2,"Goriška",25,"Miren-Kostanjevica","","","Opcine","Commune|Municipality"
29800,206,"SVN","Slovenia",2,"Goriška",26,"Nova Gorica","","","Opcine","Commune|Municipality"
29801,206,"SVN","Slovenia",2,"Goriška",27,"Šempeter-Vrtojba","","","Opcine","Commune|Municipality"
29802,206,"SVN","Slovenia",2,"Goriška",28,"Tolmin","","","Opcine","Commune|Municipality"
29803,206,"SVN","Slovenia",2,"Goriška",29,"Vipava","","","Opcine","Commune|Municipality"
29804,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",30,"Crnomelj","","","Opcine","Commune|Municipality"
29805,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",31,"Dolenjske Toplice","","","Opcine","Commune|Municipality"
29806,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",32,"Kocevje","","","Opcine","Commune|Municipality"
29807,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",33,"Kostel","","","Opcine","Commune|Municipality"
29808,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",34,"Loški Potok","","","Opcine","Commune|Municipality"
29809,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",35,"Metlika","","","Opcine","Commune|Municipality"
29810,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",36,"Mirna Pec","","","Opcine","Commune|Municipality"
29811,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",37,"Novo Mesto","","","Opcine","Commune|Municipality"
29812,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",38,"Osilnica","","","Opcine","Commune|Municipality"
29813,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",39,"Ribnica","","","Opcine","Commune|Municipality"
29814,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",40,"Semic","","","Opcine","Commune|Municipality"
29815,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",41,"Šentjernej","","","Opcine","Commune|Municipality"
